Id,Asunto,Fecha,Destinatarios,Aperturas,Open rate,Clicks,CTR,DCh.,tickets,precio,Atribution Rate
21984,🌊 Súbete al barco de Vaiana,4 jul 2026,25569,4551,0.177988971,82,0.018018018,26,86,825.6,0.317073171
21986,"¡VUELVE SPIDEY! Sony y Marvel, traen la mejor película del trepamuros de Tom Holland.",4 jul 2026,67872,33744,0.497171146,459,0.013602418,75,212,2138.5,0.163398693
21979,"🏹 Hugh Jackman da en la Diana 🎯 Leyenda, Bandido, Verdad.",2 jul 2026,11077,6135,0.55385032,62,0.010105949,52,158,1463.1,0.838709677
21975,"💣 3,2,1... Alpha is Here...",2 jul 2026,4250,1142,0.268705882,35,0.030647986,17,53,513.7,0.485714286
21958,🍌 ¡BANANAAA! sí entiendes este mensaje... VEN A VERLA: MINIONS&MONSTER,1 jul 2026,26926,5972,0.221793062,126,0.021098459,79,266,2297.9,0.626984127
21957,👊 ¡Bob Odenkirk vuelve repartiendo tortas!,1 jul 2026,4659,990,0.212491951,25,0.025252525,9,27,187.9,0.36
21940,🤣 📽️ The Best Comedies  at the best cinema. 🇮🇳,26 jun 2026,1175,329,0.28,13,0.039513678,7,39,377.3,0.538461538
21930,🌍 Descubre nuestro cine. Vive el mejor Cine Europeo.,25 jun 2026,2826,623,0.220452937,28,0.04494382,9,18,127.6,0.321428571
21931,Smtp+ no-reply@cinesfilmax.com,25 jun 2026,644,168,0.260869565,21,0.125,49,153,866.5,2.333333333
21939,Smtp+ s65714_66,25 jun 2026,1774,774,0.436302142,89,0.11498708,47,124,1094,0.528089888
21922,☠️👊 Johnny Knoxville y su banda se despiden más salvajes que nunca,24 jun 2026,36558,8694,0.237813885,114,0.013112491,77,203,1636.3,0.675438596
21923,"🎬 Siéntelo, vívelo: el verano más inmersivo en Cines Filmax Gran Vía 2",24 jun 2026,69424,44141,0.635817585,618,0.014000589,238,648,5564.2,0.385113269
21895,❤️‍🩹💔 El nuevo drama de Jessica Chastain. DREAMS,19 jun 2026,2721,641,0.235575156,24,0.037441498,4,17,142.5,0.166666667
21896,🤯 Preestreno de Obsession.Descúbrela el primero.,19 jun 2026,19356,5208,0.269063856,161,0.030913978,82,208,1819.6,0.50931677
21891,🤠👩‍🚀La última aventura de Woody y Buzz.,18 jun 2026,59377,13539,0.228017583,200,0.01477214,108,313,2564.9,0.54
21884,🥶 3️⃣ A dangerous three-way relationship.,18 jun 2026,1177,328,0.278674596,12,0.036585366,1,4,35.6,0.083333333
21875,🕷️ Tú no has olvidado a Spidey. Entradas anticipadas.,17 jun 2026,28362,6666,0.23503279,189,0.028352835,56,188,1702,0.296296296
21876,💛 no tienes plan con los peques?,17 jun 2026,2839,619,0.218034519,12,0.019386107,3,7,52.1,0.25
21863,🎬 Cine en familia: Los bombazos de este verano,16 jun 2026,24326,5457,0.22432788,174,0.031885651,32,102,888.1,0.183908046
21865,🤠 Planazo: comienza el verano,16 jun 2026,35259,8798,0.249524944,202,0.022959764,71,170,1479.4,0.351485149
21864,🍌 Te haremos recordar tu mejores momentos,16 jun 2026,5027,1426,0.283668192,21,0.014726508,22,45,392.1,1.047619048
21810,🍿 🛸 Spielberg ha vuelto. Descubre el secreto. 🎬,11 jun 2026,74283,44817,0.603327814,747,0.016667782,210,500,4097.4,0.281124498
21809,👀 🔥 A Story of Love & migration  🎬,11 jun 2026,4201,1192,0.283741966,27,0.022651007,10,24,208.3,0.37037037
21774,🍿 Planazo de la semana: ¡Nos vamos al cine! 🎬,5 jun 2026,76829,46676,0.60753101,1627,0.034857314,313,755,4132.8,0.192378611
21727,🍿🎬 ¿Sin planes hoy? La cartelera viene fuerte 🔥,29 may 2026,77640,46188,0.594899536,849,0.018381398,127,332,2733.1,0.14958775
21690,🐍 ¡Planazo de culto!: 🦇 De fiesta con vampiros hasta el amanecer,26 may 2026,76696,45671,0.595480859,800,0.017516586,110,288,2454.6,0.1375
21689,🐍 ¡Planazo de culto!: 🦇 De fiesta con vampiros hasta el amanecer,26 may 2026,1411,831,0.588944011,26,0.031287605,6,9,77.6,0.230769231
21688,🍿 Cuidado con las palomitas: 💥 ¡Sujétate bien!  o se te caerán 🥊,25 may 2026,11984,8870,0.740153538,145,0.016347238,47,116,1020.2,0.324137931
21671,"🎭 Tres películas para temblar, llorar y reír 🎭",22 may 2026,78741,46310,0.588130707,1033,0.022306197,143,350,3258.3,0.138431752
21670,🎬 Chand Mera Dil: Bollywood's newest hit 🎬,22 may 2026,4207,1207,0.286902781,37,0.030654515,14,34,329.2,0.378378378
21625,🌌 El mandaloriano llega con toda la fuerza,18 may 2026,79213,46956,0.592781488,1159,0.024682682,191,470,4405.5,0.164797239
21626,💚 Grogu y Mando están de vuelta,18 may 2026,136323,3199,0.023466326,485,0.151609878,3,7,91.2,0.006185567
21619,🧙 Un viaje a la Tierra Media te espera,16 may 2026,40614,11662,0.287142365,416,0.035671411,80,204,2000.6,0.192307692
21605,🍿🎥🎭 Tres historias. Tres emociones. Una sola noche de cine,13 may 2026,53416,40326,0.754942339,700,0.017358528,102,249,2248.3,0.145714286
21604,🎸Vive Iron Maiden como nunca en la gran pantalla,13 may 2026,8704,2356,0.270680147,69,0.029286927,27,77,604.6,0.391304348
21571,🐏🐏 El caso que la policía no pudo resolver... pero el rebaño sí.,8 may 2026,15127,4636,0.306471871,176,0.037963762,57,159,1259,0.323863636
21562,✈️ Regresa a la Academia: Celebramos 40 años de un icono del cine,7 may 2026,54119,41021,0.75797779,571,0.0139197,176,414,3607.3,0.308231173
21561,⚡ ENHYPEN: La inmersión total ha comenzado ⚡.,7 may 2026,8939,2386,0.266920237,90,0.037720034,37,103,776.5,0.411111111
21521,🐘 Una gran aventura llena de valentía.,29 abr 2026,6436,4257,0.661435674,63,0.014799154,45,148,1226.2,0.714285714
21513,⚔️ Honor and conquest of a great king,29 abr 2026,4232,1216,0.287334594,33,0.027138158,13,51,392.5,0.393939394
21516,🔪 El terror alcanza aquí su último capítulo.,29 abr 2026,19700,5583,0.283401015,171,0.030628694,106,295,2482.3,0.619883041
21492,👠 Nuevos retos y poder en el mundo de la moda.,27 abr 2026,8113,2190,0.269937138,58,0.026484018,64,167,1250.2,1.103448276
21459,✈️ ¿Listo para despegar? Top Gun te espera,23 abr 2026,2899,898,0.309761987,43,0.047884187,8,26,285.3,0.186046512
21460,✈️ ¿Listo para despegar? Top Gun te espera,23 abr 2026,1132,316,0.279151943,3,0.009493671,12,32,252.4,4
